date,price_mean,price_median,n_obs
1981-03-01,370207.873015873,260000.0,63
1981-04-01,441438.5657894737,358500.0,76
1981-05-01,434027.447761194,324900.0,67
1981-06-01,430537.13095238095,354950.0,84
1981-07-01,485641.6875,397500.0,80
1981-08-01,396484.74576271186,330000.0,59
1981-09-01,375853.32,249000.0,75
1981-10-01,496917.27777777775,394250.0,72
1981-11-01,461029.641509434,380000.0,53
1981-12-01,343507.6769230769,249000.0,65
1982-01-01,335148.6,239900.0,45
1982-02-01,479089.3125,381950.0,48
1982-03-01,391653.3793103448,304950.0,58
1982-04-01,425063.38181818184,299000.0,55
1982-05-01,455225.51923076925,294925.0,52
1982-06-01,456079.3157894737,380000.0,57
1982-07-01,485644.82089552237,329900.0,67
1982-08-01,451203.5142857143,312450.0,70
1982-09-01,380712.4464285714,299499.5,56
1982-10-01,345114.71014492755,245000.0,69
1982-11-01,414725.9193548387,337500.0,62
1982-12-01,496678.43076923076,399000.0,65
1983-01-01,396271.2698412698,295000.0,63
1983-02-01,401098.0,282499.5,56
1983-03-01,454290.87012987013,355000.0,77
1983-04-01,460014.9418604651,349950.0,86
1983-05-01,443226.86075949366,349900.0,79
1983-06-01,462207.29411764705,375000.0,102
1983-07-01,436123.0,374950.0,106
1983-08-01,481313.14285714284,375000.0,119
1983-09-01,476797.5,374500.0,100
1983-10-01,454724.9605263158,344500.0,76
1983-11-01,476041.8777777778,367000.0,90
1983-12-01,488360.193877551,399000.0,98
1984-01-01,479285.3734939759,342000.0,83
1984-02-01,517340.09411764704,425000.0,85
1984-03-01,420655.67045454547,367000.0,88
1984-04-01,425372.73333333334,349900.0,105
1984-05-01,502638.83720930235,365000.0,129
1984-06-01,459144.0544217687,350000.0,147
1984-07-01,504189.0634920635,354950.0,126
1984-08-01,453959.67741935485,350000.0,124
1984-09-01,464715.08860759495,349000.0,79
1984-10-01,484512.0975609756,349900.0,123
1984-11-01,442336.0535714286,349900.0,112
1984-12-01,456560.56382978725,399450.0,94
1985-01-01,458470.14705882355,369950.0,102
1985-02-01,502745.50980392157,429950.0,102
1985-03-01,513987.4857142857,449000.0,105
1985-04-01,502667.037593985,405000.0,133
1985-05-01,417572.464,299900.0,125
1985-06-01,465077.8154761905,390000.0,168
1985-07-01,543352.6402439025,455000.0,164
1985-08-01,514540.34920634923,395000.0,189
1985-09-01,450849.90967741935,325000.0,155
1985-10-01,493038.8010471204,409000.0,191
1985-11-01,479618.3154362416,375000.0,149
1985-12-01,517677.4756097561,427450.0,164
1986-01-01,522273.3007518797,425900.0,133
1986-02-01,475180.9646017699,350000.0,113
1986-03-01,433602.3103448276,365000.0,145
1986-04-01,465735.10294117645,389949.5,136
1986-05-01,483165.4748603352,399900.0,179
1986-06-01,525089.8118811881,405750.0,202
1986-07-01,496017.600877193,412000.0,228
1986-08-01,524905.0862068966,437500.0,232
1986-09-01,470654.40178571426,376750.0,224
1986-10-01,473494.1569506726,389900.0,223
1986-11-01,500629.0362694301,425000.0,193
1986-12-01,538716.5960264901,450000.0,302
1987-01-01,457894.5714285714,365000.0,161
1987-02-01,453305.0159574468,399900.0,188
1987-03-01,448957.6462264151,359950.0,212
1987-04-01,508179.0686695279,401000.0,233
1987-05-01,455861.52765957447,375000.0,235
1987-06-01,508336.6740740741,399450.0,270
1987-07-01,539763.0636042403,450000.0,283
1987-08-01,467527.8377358491,375000.0,265
1987-09-01,478309.3956521739,397499.5,230
1987-10-01,494635.68376068375,377500.0,234
1987-11-01,497477.83490566036,409500.0,212
1987-12-01,491963.08294930874,410000.0,217
1988-01-01,455327.1420765027,349950.0,183
1988-02-01,480144.4142011834,374900.0,169
1988-03-01,471648.62025316455,349900.0,237
1988-04-01,489909.24,399900.0,225
1988-05-01,484911.29433962266,375000.0,265
1988-06-01,473266.8850574713,400000.0,261
1988-07-01,437690.0894941634,345000.0,257
1988-08-01,496712.6655172414,399900.0,290
1988-09-01,481249.99649122806,390000.0,285
1988-10-01,470504.2945736434,374950.0,258
1988-11-01,514197.1328125,439900.0,256
1988-12-01,458068.6230769231,349450.0,260
1989-01-01,470839.7875647668,379000.0,193
1989-02-01,441332.0218579235,339933.0,183
1989-03-01,451732.47955390334,379000.0,269
1989-04-01,482040.1906779661,375000.0,236
1989-05-01,432968.8858131488,370000.0,289
1989-06-01,418931.74760383385,339000.0,313
1989-07-01,470212.1935483871,395000.0,248
1989-08-01,481832.7460815047,409000.0,319
1989-09-01,454951.03007518797,362885.0,266
1989-10-01,459924.8198529412,379450.0,272
1989-11-01,485383.24832214764,409500.0,298
1989-12-01,478652.7640845071,367500.0,284
1990-01-01,445669.9783549784,349000.0,231
1990-02-01,463203.98630136985,399900.0,219
1990-03-01,433506.3118971061,364900.0,311
1990-04-01,460445.1757188498,360000.0,313
1990-05-01,445087.7483870968,369900.0,310
1990-06-01,456663.2578397213,399900.0,287
1990-07-01,483022.5589225589,389000.0,297
1990-08-01,448411.61027190334,375000.0,331
1990-09-01,422632.1012145749,315000.0,247
1990-10-01,468262.6039215686,365000.0,255
1990-11-01,434911.35193133046,349900.0,233
1990-12-01,436612.55721393035,350000.0,201
1991-01-01,447082.0462427746,359000.0,173
1991-02-01,469522.15568862273,379900.0,167
1991-03-01,484560.0818965517,390950.0,232
1991-04-01,441189.64705882355,342400.0,238
1991-05-01,475410.3079096045,371400.0,354
1991-06-01,482792.2338129496,399250.0,278
1991-07-01,484319.9205882353,399000.0,340
1991-08-01,454770.0294117647,379000.0,306
1991-09-01,460068.5326086957,385500.0,276
1991-10-01,464305.4516129032,387000.0,310
1991-11-01,457622.83402489626,349900.0,241
1991-12-01,416990.2363636364,322900.0,275
1992-01-01,502446.41784037556,409000.0,213
1992-02-01,456447.3658536585,360000.0,205
1992-03-01,485246.94921875,384450.0,256
1992-04-01,483628.23154362413,382500.0,298
1992-05-01,495820.55445544556,395000.0,303
1992-06-01,491556.9226361032,399000.0,349
1992-07-01,481293.3134328358,400000.0,335
1992-08-01,470309.63173652696,396700.0,334
1992-09-01,480695.1064516129,385000.0,310
1992-10-01,493402.6258064516,381500.0,310
1992-11-01,516460.4779661017,449000.0,295
1992-12-01,499928.1281337047,424900.0,359
1993-01-01,477433.8509090909,385999.0,275
1993-02-01,452015.13973799127,350000.0,229
1993-03-01,466263.118902439,387450.0,328
1993-04-01,481233.1924290221,395000.0,317
1993-05-01,460559.8959537572,382450.0,346
1993-06-01,459645.12873563217,365000.0,435
1993-07-01,500625.0812807882,422400.0,406
1993-08-01,473650.6516587678,387000.0,422
1993-09-01,479132.62621359224,382500.0,412
1993-10-01,453538.13098236773,365000.0,397
1993-11-01,459773.2611940298,357450.0,402
1993-12-01,449368.85555555555,350000.0,450
1994-01-01,486011.25157232705,404500.0,318
1994-02-01,475323.29375,376191.0,320
1994-03-01,484662.7373493976,399000.0,415
1994-04-01,476758.93087557604,383450.0,434
1994-05-01,472015.6352201258,379500.0,477
1994-06-01,462081.4174573055,363000.0,527
1994-07-01,462925.19696969696,377450.0,462
1994-08-01,423284.91603053437,337000.0,524
1994-09-01,483096.94407158834,395000.0,447
1994-10-01,432182.74047619046,319450.0,420
1994-11-01,436381.18733509234,350000.0,379
1994-12-01,499813.32589285716,399950.0,448
1995-01-01,460795.88291139243,350000.0,316
1995-02-01,445324.15806451614,350000.0,310
1995-03-01,438351.90845070424,325000.0,426
